Cinema ID: 24193, Name: 万达影城  （綦江万达广场IMAX店）, Address: 綦江区滨河大道27号万达广场(綦江店)F4层, BrandName: 万达影城
Cinema ID: 6411, Name: 万达影城（SM广场XLAND店）, Address: 渝北区渝北松石大道148号SM广场L4层（近龙湖紫都城）, BrandName: 万达影城
Cinema ID: 6491, Name: 万达影城（万州万达广场CINITY店）, Address: 万州区高笋塘街道北滨大道二段998号5幢附9号万达广场4层, BrandName: 万达影城
Cinema ID: 16276, Name: 万达影城（万州高笋塘店）, Address: 万州区高笋塘万高国际五层, BrandName:  万达影城
Cinema ID: 16418, Name: 万达影城（二郎千叶中央街区巨幕店）, Address: 九龙坡区火炬大道99号千叶中央街区2栋3楼, BrandName:  万达影城
Cinema ID: 37610, Name: 万达影城（云阳店）, Address: 云阳县青龙街道滨江大道333号城中城广场三期第F4层, BrandName:  万达影城
Cinema ID: 23966, Name: 万达影城（北碚万达广场IMAX店）, Address: 北碚区冯时行路300号万达广场4层, BrandName:  万达影城
Cinema ID: 26717, Name: 万达影城（华茂国际中心IMAX店）, Address: 永川区昌州大道东段789号HMC华茂国际中心C馆第5层, BrandName:  万达影城
Cinema ID: 739, Name: 万达影城（南坪万达广场店）, Address: 南岸区江南大道8号万达广场娱乐楼3F(近珊瑚路)万达影城, BrandName:  万达影城
Cinema ID: 28171, Name: 万达影城（南川万达广场PRIME店）, Address: 南川区渝南大道16号4楼, BrandName:  万达影城
Cinema ID: 38446, Name: 万达影城（卜蜂莲花店）, Address: 江北区洋河北路6号力帆体育城3楼（黄泥磅地铁3A出口下行500米左右）, BrandName:  万达影城
Cinema ID: 16351, Name: 万达影城（合川步步高店）, Address: 合川区合阳大道将军支路步步高3号门观光电梯上4楼, BrandName:  万达影城
Cinema ID: 10397, Name: 保利万和国际影城（合川兆甲店）, Address: 合川区合阳城街道交通街兆甲·海润天街10号楼3F(大润发对面), BrandName: 保利万和国际影城
Cinema ID: 38780, Name: 保利万和国际影城（合川财富店）, Address: 合川区绿港财富广场B馆3楼, BrandName: 保利万和国际影城
Cinema ID: 26295, Name: 保利万和国际影城（壹街店）, Address: 大渡口区文体路壹街购物中心A区2层, BrandName: 保利万和国际影城
Cinema ID: 17054, Name: 保利万和国际影城（奉节海成金街店）, Address: 奉节县海成金街二区2-08号滨江国际C5座, BrandName: 保利万和国际影城
Cinema ID: 25726, Name: 保利万和国际影城（时代金街店 ）, Address: 开州区汉丰街道迎宾社区帅乡路192号叁和购物广场负一楼, BrandName: 保利万和国际影城
Cinema ID: 27906, Name: 保利万和国际影城（水土店）, Address: 北碚区水土街道方正大道98号两江云中街2楼(建设银行水土支行楼上), BrandName: 保利万和国际影城
Cinema ID: 24256, Name: 保利万和国际影城（永川红星店）, Address: 永川区胜利路街道萱花西路452号商业楼4层, BrandName: 保利万和国际影城
Cinema ID: 9464, Name: 保利万和国际影城（江津御景华庭店）, Address: 江津区江洲大道600号御景华庭, BrandName: 保利万和国际影城
Cinema ID: 25704, Name: 保利万和国际影城（江豪店）, Address: 万州区五桥百安坝安宁路69号（原国际大酒店对面）江豪广场, BrandName: 保利万和国际影城
Cinema ID: 7523, Name: 保利万和国际影城（解放碑店）, Address: 渝中区民权路59号较场口恒通云鼎6楼（轻轨站9号出口）（轻轨较场口站E出口对面）, BrandName: 保利万和国际影城
Cinema ID: 13715, Name: 保利万和巫山影城（东转盘店）, Address: 巫山县广东东路329号电影院4楼（两心四馆）, BrandName: 保利万和国际影城
Cinema ID: 36540, Name: 保利万和影城（IMAX石桥广场店）, Address: 九龙坡区渝州路街道渝州路59号石桥广场F3层, BrandName: 保利万和国际影城
Cinema ID: 714, Name: UME影城（两江西奥）, Address: 渝北区奥特莱斯路1号西部奥特莱斯内, BrandName: UME国际影城
Cinema ID: 747, Name: UME影城（九龙坡店）, Address: 九龙坡区珠江路48号龙湖西城天街3F—26号, BrandName: UME国际影城
Cinema ID: 760, Name: UME影城（北城天街CINITY店）, Address: 江北区北城天街8号北城天街购物广场B区5F, BrandName: UME国际影城
Cinema ID: 24606, Name: UME影城（南岸店）, Address: 南岸区泽科星泽汇4楼, BrandName: UME国际影城
Cinema ID: 16647, Name: UME影城（南滨）, Address: 南岸区南滨路东原1891B馆L3, BrandName: UME国际影城
Cinema ID: 16301, Name: UME影城（双桥）, Address: 大足区车城大道39号附2号, BrandName: UME国际影城
Cinema ID: 10889, Name: UME影城（大足）, Address: 大足区龙中路89号大足印象购物广场D区4楼, BrandName: UME国际影城
Cinema ID: 734, Name: UME影城（沙坪坝店）, Address: 沙坪坝区天陈路1号附10号炫地购物中心F4、F6, BrandName: UME国际影城
Cinema ID: 5513, Name: UME影城（涪陵店）, Address: 涪陵区兴华中路29号高笋塘泽胜商业步行街4楼, BrandName: UME国际影城
Cinema ID: 2489, Name: UME影城（渝中）, Address: 渝中区龙湖时代天街B馆5F（近石油路地铁站）, BrandName: UME国际影城
Cinema ID: 7483, Name: UME影城（解放碑店）, Address: 渝中区较场口86-91号得意世界C座6-7楼, BrandName: UME国际影城
Cinema ID: 733, Name: UME影城（重庆北碚店）, Address: 北碚区北温泉街道康宁路58号嘉陵风情步行街4-5层(状元府第旁), BrandName: UME国际影城
Cinema ID: 39015, Name: SFC上影国际影城（N37月光之城店）, Address: 渝北区鸳鸯街道金开大道218号附68号N37月光之城, BrandName: 上影国际影城
Cinema ID: 37988, Name: SFC上影国际影城（双福爱琴海购物公园店）, Address: 江津区双福街道南北大道北段726号重庆江津爱琴海购物公园F3001, BrandName: 上影国际影城
Cinema ID: 38195, Name: SFC上影国际影城（港城店）, Address: 江北区港城南路悦邻park购物中心3楼, BrandName: 上影国际影城
Cinema ID: 38766, Name: SFC上影国际影城（解放碑店）, Address: 渝中区五一路99号协信星光广场5楼, BrandName: 上影国际影城
Cinema ID: 17116, Name: 上影国际影城, Address: 铜梁区民谐路与广龙路交叉路口往东南约50米(双远凤凰郡西南侧约50米), BrandName: 上影国际影城
Cinema ID: 28504, Name: 上影国际影城五桥店, Address: 万州区五桥街道万汇城商业二层, BrandName: 上影国际影城
Cinema ID: 36344, Name: 上影国际影城（LUXE礼嘉天街店）, Address: 渝北区礼嘉街道礼慈路15号龙湖礼嘉天街B馆-3F-Z02-Z02层, BrandName: 上影国际影城
Cinema ID: 37814, Name: 上影国际影城（万盛店）, Address: 綦江区万盛经济技术开发区国能天街D栋3层, BrandName: 上影国际影城
Cinema ID: 39760, Name: 上影国际影城（万科里店）, Address: 九龙坡区彩虹路95号附9号3-12、13、14、15号, BrandName: 上影国际影城
Cinema ID: 36352, Name: 上影国际影城（云阳店）, Address: 云阳县迎宾大道588号云阳天地3楼, BrandName: 上影国际影城
Cinema ID: 24912, Name: 上影国际影城（南川南商广场店）, Address: 南川区龙井路5号裙楼第四层789号商铺, BrandName: 上影国际影城
Cinema ID: 37599, Name: 上影国际影城（南川名润广场店）, Address: 南川区南城街道办事处钟楼街18号(名润时代广场)裙楼4-1, BrandName: 上影国际影城
Cinema ID: 719, Name: 横店影城（丰都店）, Address: 丰都县三合街道平都大道东段52号丰都影视中心3层（近公安局）, BrandName: 横店影视
Cinema ID: 11056, Name: 横店影城（合川店）, Address: 合川区212国道宝龙城市广场内, BrandName: 横店影视
Cinema ID: 6072, Name: 横店电影城（4K120帧CINITY长寿店）, Address: 长寿区桃源大道8号凯谊世纪广场四楼（重百旁）, BrandName: 横店影视
Cinema ID: 9425, Name: 横店电影城（外滩店）, Address: 潼南区外滩国际城1号楼3楼（近滨江公园）, BrandName: 横店影视
Cinema ID: 6096, Name: 横店电影城（梁平店）, Address: 梁平区人民东路一号重百商场六楼, BrandName: 横店影视
Cinema ID: 28523, Name: 横店电影城（武隆店）, Address: 武隆区凤山街道南滨路215号渝兆新天地4号楼横店电影城项厅, BrandName: 横店影视
Cinema ID: 24670, Name: 横店电影城（涪陵宝龙店）, Address: 涪陵区百花路88号涪陵宝龙广场, BrandName: 横店影视
Cinema ID: 732, Name: 横店电影城（煌华店）, Address: 沙坪坝区渝碚路街道小龙坎新街三峡广场步行街6号新纪元购物广场8层, BrandName: 横店影视
Cinema ID: 37470, Name: 横店电影城（百汇广场店）, Address: 涪陵区聚龙大道69号百汇广场4楼, BrandName: 横店影视
Cinema ID: 38673, Name: 横店电影城（重庆渝北店）, Address: 渝北区福畅路10号泽科·空港星泽汇L3层, BrandName: 横店影视
Cinema ID: 17090, Name: 横店电影（荣昌店）, Address: 荣昌区昌州街道康宁广场大润发超市3楼, BrandName: 横店影视
Cinema ID: 14612, Name: 金逸影城（中交丽景店）, Address: 大渡口区双龙路1号中交万都汇3楼（巴国城后门永辉超市楼上）, BrandName: 金逸影城
Cinema ID: 27120, Name: 金逸影城（兰亭IMAX店）, Address: 渝北区兴科大道322号兰亭新都汇4层, BrandName: 金逸影城
Cinema ID: 26577, Name: 金逸影城（开州店）, Address: 开州区假日国际商业广场3楼金逸影城, BrandName: 金逸影城
Cinema ID: 10214, Name: 金逸影城（渝北店）, Address: 渝北区仙桃街道空港新城华辰财富广场五栋3楼, BrandName: 金逸影城
Cinema ID: 37472, Name: 金逸影城（重庆大悦城IMAX激光店）, Address: 渝北区秋成大道99号大悦城购物中心L514号商铺, BrandName: 金逸影城
Cinema ID: 16574, Name: 金逸珠江影城（南川店）, Address: 南川区河滨南路19号电影大厦, BrandName: 金逸影城
Cinema ID: 748, Name: 金逸影城（长寿店）, Address: 长寿区凤城街道向阳路2号协信购物广场7层, BrandName: 金逸影城
Cinema ID: 27881, Name: 太平洋影城（两江新区店）, Address: 江北区和源路221号附20号2-1, BrandName: 太平洋电影城
Cinema ID: 36398, Name: 太平洋影城（江津店）, Address: 江津区圣泉街道乾和新天汇6号楼3层, BrandName: 太平洋电影城
Cinema ID: 17119, Name: 太平洋影城（重庆石柱店）, Address: 石柱土家族自治县南宾路7号康德中央大街4楼39号, BrandName: 太平洋电影城
Cinema ID: 13394, Name: 太平洋影城（重庆酉阳店）, Address: 酉阳土家族苗族自治县桃花源大道中路81号（碧津广场四楼）, BrandName: 太平洋电影城
Cinema ID: 707, Name: 太平洋影城（重庆紫荆店）, Address: 渝北区龙山街道旗龙路2号（东和春天耍坝旁原名紫荆电影城）, BrandName: 太平洋电影城
Cinema ID: 36453, Name: 完美世界影城（永川中央大街店）, Address: 永川区渝西大道中段918号11幢附7-1, BrandName: 完美世界影城
Cinema ID: 37114, Name: 完美世界影城（江北嘴财信广场店）, Address: 江北区江北城街道金沙门路56号附18号3-17名义层3层, BrandName: 完美世界影城
Cinema ID: 5404, Name: 完美世界影城（重庆中冶店）, Address: 渝北区金开大道1122号(轻轨鸳鸯站旁), BrandName: 完美世界影城
Cinema ID: 25378, Name: 完美世界影城（重庆爱融荟城店）, Address: 渝北区龙山街道新南路439号爱融荟城B区L4楼, BrandName: 完美世界影城
Cinema ID: 2391, Name: 保利万和彭水影城（彭水店）, Address: 彭水苗族土家族自治县汉葭街道下街民族会场(民族会场旁), BrandName: 保利国际影城
Cinema ID: 12912, Name: 保利万和时光影城（永川金科店）, Address: 永川区中山路街道兴龙大道777号39幢3层(金科金街), BrandName: 保利国际影城
Cinema ID: 2327, Name: 保利万和熙街影城（熙街店）, Address: 沙坪坝区大学城景苑路(美丽熙街)8号附1026号, BrandName: 保利国际影城
Cinema ID: 9292, Name: 保利万和西彭影城, Address: 九龙坡区西彭镇澎湖花园21栋, BrandName: 保利国际影城
Cinema ID: 5844, Name: 大地影院（重庆巴南龙洲湾店）, Address: 巴南区龙洲湾商街兴业银行楼上（轻轨3号线学堂湾站旁）, BrandName: 大地影院
Cinema ID: 13634, Name: 大地影院（重庆渝北金港国际二店）, Address: 渝北区滨港路金港国际购物中心二楼, BrandName: 大地影院
Cinema ID: 744, Name: 大地影院（重庆渝北金港国际店）, Address: 渝北区双龙湖街道金港国际中心二楼(机场对面), BrandName: 大地影院
Cinema ID: 26778, Name: 大地影院（重庆观棠晓月店）, Address: 大足区棠香街道MK购物广场3楼, BrandName: 大地影院
Cinema ID: 24052, Name: CGV影城（U城IMAX店）, Address: 沙坪坝区虎溪街道大学城北路97号龙湖U城天街B馆4楼, BrandName: CGV影城
Cinema ID: 27707, Name: CGV影城（来福士IMAX店）, Address: 渝中区接圣街8号重庆来福士广场03、04层03-127、04-120号, BrandName: CGV影城
Cinema ID: 23731, Name: CGV影城（源著IMAX店）, Address: 江北区福康路25号龙湖源著天街购物广场第3、4、5层, BrandName: CGV影城
Cinema ID: 16547, Name: CGV影城（茶园店）, Address: 南岸区长生桥镇通江大道186号附1号5-1号, BrandName: CGV影城
Cinema ID: 37479, Name: 沃美影城中央公园龙湖店（WMX）, Address: 渝北区中央公园龙湖公园天街B馆5层Z02沃美影城, BrandName: 沃美影城
Cinema ID: 2588, Name: 沃美影城协信星光天地店, Address: 渝北区金开大道70号协信星光天地3楼（近天来大酒店）, BrandName: 沃美影城
Cinema ID: 28191, Name: 沃美影城鲁能茶园店, Address: 南岸区长生桥镇鲁能·领秀城5街区南（天文大道西）, BrandName: 沃美影城
Cinema ID: 727, Name: 博纳国际影城（凤天路店）, Address: 沙坪坝区凤天大道37号, BrandName: 博纳国际影城
